N,benchmark,correct,kernel_name,local_size,max_abs_err,optimized_best_ms,optimized_file,optimized_median_ms,original_best_ms,original_file,original_median_ms,speedup_best,speedup_median
262144,prefetch_thread,True,stencil1d,256,0.0,0.004992,kernels_opt/prefetch_thread.cl,0.005312,0.0048,kernels/prefetch_thread.cl,0.005312,0.9615384615384615,1.0
1048576,prefetch_thread,True,stencil1d,256,0.0,0.006944,kernels_opt/prefetch_thread.cl,0.007488,0.006944,kernels/prefetch_thread.cl,0.007456,1.0,0.9957264957264957
4194304,prefetch_thread,True,stencil1d,256,0.0,0.015456,kernels_opt/prefetch_thread.cl,0.015856000000000002,0.015328,kernels/prefetch_thread.cl,0.015872,0.9917184265010353,1.0010090817356205
16777216,prefetch_thread,True,stencil1d,256,0.0,0.061599999999999995,kernels_opt/prefetch_thread.cl,0.06295999999999999,0.061408,kernels/prefetch_thread.cl,0.063008,0.9968831168831169,1.0007623888182975
